,id,group,discovery_factor,widen_policy_value,seed,model_arg_temp,final/pass_at_5000,final/pass_at_2000,final/pass_at_1000,final/pass_at_500,final/n_tokens,final/width,final/depth,final/total_nodes,final/max_value,final/min_value
0,vta8skg7,exploration-sweep-5,3.0,0.1,26,1.0,1,1,0,0,1407,2,17,32,6,-6
0,h6d1ne6y,exploration-sweep-5,3.0,0.1,24,1.0,1,1,1,0,582,2,10,18,7,-3
0,ti4aukal,exploration-sweep-5,3.0,0.1,19,1.0,1,1,0,0,1189,7,25,62,17,-14
0,t3vgcjdt,exploration-sweep-5,3.0,0.1,16,1.0,1,0,0,0,2273,4,22,52,4,-14
0,lm7oxvz8,exploration-sweep-5,3.0,0.1,13,1.0,1,1,0,0,1468,6,24,56,17,-14
0,tqkp5tt9,exploration-sweep-5,3.0,0.1,12,1.0,1,1,0,0,1325,2,17,32,4,-5
0,6wen0cfe,exploration-sweep-5,3.0,0.1,11,1.0,1,1,0,0,1911,11,27,114,15,-39
0,4f36nhf6,exploration-sweep-5,3.0,0.1,9,1.0,1,1,0,0,1167,2,17,32,7,-2
0,a1af136n,exploration-sweep-5,3.0,0.1,99,1.0,1,1,0,0,1140,2,18,34,10,-8
0,dhxcr9j4,exploration-sweep-5,3.0,0.1,98,1.0,1,1,0,0,1611,2,26,50,13,-7
0,dy9k160r,exploration-sweep-5,3.0,0.1,97,1.0,1,0,0,0,3307,10,17,64,7,-24
0,ict2s3zu,exploration-sweep-5,3.0,0.1,96,1.0,1,1,1,0,696,2,24,46,16,-3
0,b9lju943,exploration-sweep-5,3.0,0.1,95,1.0,1,1,0,0,1086,2,14,26,7,-10
0,t8523d4j,exploration-sweep-5,3.0,0.1,94,1.0,1,1,0,0,1458,4,17,36,5,-13
0,602dkmko,exploration-sweep-5,3.0,0.1,92,1.0,1,0,0,0,4195,14,23,96,15,-25
0,ctn6y3vm,exploration-sweep-5,3.0,0.1,91,1.0,1,1,0,0,1209,2,15,28,6,-5
0,7povgwf1,exploration-sweep-5,3.0,0.1,90,1.0,1,1,1,0,874,4,16,38,8,-42
0,yd1gk0cz,exploration-sweep-5,3.0,0.1,89,1.0,1,1,1,0,955,4,19,54,9,-39
0,vmvf4m4c,exploration-sweep-5,3.0,0.1,88,1.0,1,1,1,0,804,2,26,50,16,-5
0,2e1824sj,exploration-sweep-5,3.0,0.1,87,1.0,1,1,1,0,524,2,13,24,6,-2
0,eeortyti,exploration-sweep-5,3.0,0.1,85,1.0,1,0,0,0,2212,6,19,96,8,-57
0,ngip9gmr,exploration-sweep-5,3.0,0.1,84,1.0,1,1,0,0,1156,2,19,36,7,-8
0,0es8nv8p,exploration-sweep-5,3.0,0.1,83,1.0,1,0,0,0,2944,8,25,94,20,-39
0,pdjsnsts,exploration-sweep-5,3.0,0.1,82,1.0,1,1,1,0,739,2,13,24,6,-4
0,uqlvut5w,exploration-sweep-5,3.0,0.1,81,1.0,1,1,1,1,463,2,17,32,11,-2
0,s8206pts,exploration-sweep-5,3.0,0.1,80,1.0,1,1,0,0,1614,6,32,116,15,-39
0,tghiqvac,exploration-sweep-5,3.0,0.1,79,1.0,1,0,0,0,3025,7,26,92,6,-44
0,ulhdzf6u,exploration-sweep-5,3.0,0.1,78,1.0,1,0,0,0,2419,9,21,74,7,-14
0,lx987475,exploration-sweep-5,3.0,0.1,77,1.0,1,1,1,0,892,2,25,48,18,-3
0,uiexjqsg,exploration-sweep-5,3.0,0.1,76,1.0,1,1,1,1,340,2,17,32,14,0
0,8gurcp1u,exploration-sweep-5,3.0,0.1,75,1.0,1,1,1,1,431,2,17,32,15,0
0,ojt7q9d8,exploration-sweep-5,3.0,0.1,74,1.0,1,1,0,0,1287,5,13,32,8,-14
0,rkhf6imk,exploration-sweep-5,3.0,0.1,73,1.0,1,1,1,1,456,2,19,36,13,-2
0,i16wiz01,exploration-sweep-5,3.0,0.1,72,1.0,1,0,0,0,3134,15,17,122,10,-77
0,eg3vq8w9,exploration-sweep-5,3.0,0.1,71,1.0,1,1,0,0,1530,7,29,72,20,-14
0,6odzatrz,exploration-sweep-5,3.0,0.1,70,1.0,1,1,1,0,761,3,17,34,3,-12
0,0hgldln5,exploration-sweep-5,3.0,0.1,69,1.0,1,1,1,0,715,2,27,52,19,-1
0,m19h74tg,exploration-sweep-5,3.0,0.1,68,1.0,1,1,0,0,1976,7,28,90,9,-40
0,dgsvofcq,exploration-sweep-5,3.0,0.1,67,1.0,1,1,1,1,356,2,15,28,11,0
0,vyovbc76,exploration-sweep-5,3.0,0.1,66,1.0,1,1,1,1,273,2,13,24,10,0
0,jqu7konw,exploration-sweep-5,3.0,0.1,65,1.0,1,0,0,0,4494,10,22,124,12,-85
0,7v3n2jfv,exploration-sweep-5,3.0,0.1,64,1.0,1,1,1,0,649,2,26,50,22,-1
0,jvnn03n4,exploration-sweep-5,3.0,0.1,63,1.0,1,1,1,0,668,2,11,20,2,-2
0,ry40ge7o,exploration-sweep-5,3.0,0.1,62,1.0,1,1,1,0,527,2,16,30,9,-2
0,x5g0rk4g,exploration-sweep-5,3.0,0.1,61,1.0,1,0,0,0,2255,6,25,92,6,-56
0,jx8yw7hr,exploration-sweep-5,3.0,0.1,60,1.0,1,0,0,0,2049,5,23,50,2,-13
0,qq07zyyj,exploration-sweep-5,3.0,0.1,59,1.0,1,1,0,0,1592,4,25,80,10,-39
0,7bgvwc49,exploration-sweep-5,3.0,0.1,58,1.0,0,0,0,0,5359,9,29,204,1,-88
0,xq19nj2j,exploration-sweep-5,3.0,0.1,57,1.0,1,1,0,0,1360,4,19,66,7,-39
0,r02gy033,exploration-sweep-5,3.0,0.1,56,1.0,1,1,1,0,840,2,25,48,19,-1
0,5euetz3l,exploration-sweep-5,3.0,0.1,55,1.0,1,1,1,0,557,2,10,18,6,-4
0,nizz65da,exploration-sweep-5,3.0,0.1,54,1.0,1,0,0,0,2288,6,18,84,4,-58
0,rkjr01qg,exploration-sweep-5,3.0,0.1,53,1.0,1,0,0,0,2198,8,24,86,17,-39
0,0a3k3eua,exploration-sweep-5,3.0,0.1,52,1.0,1,0,0,0,3993,9,17,82,3,-43
0,ixpwdj7h,exploration-sweep-5,3.0,0.1,51,1.0,1,0,0,0,2201,4,21,66,8,-39
0,rwv6zmis,exploration-sweep-5,3.0,0.1,50,1.0,1,0,0,0,2198,9,26,78,16,-14
0,k76l9hao,exploration-sweep-5,3.0,0.1,49,1.0,1,1,1,1,476,2,16,30,10,-2
0,w8hjw5pb,exploration-sweep-5,3.0,0.1,48,1.0,1,1,0,0,1813,6,32,120,10,-39
0,jp1kyj90,exploration-sweep-5,3.0,0.1,47,1.0,1,1,1,0,959,2,14,26,7,-8
0,sndgqih3,exploration-sweep-5,3.0,0.1,46,1.0,1,0,0,0,3217,6,27,76,5,-14
0,m58xb3nb,exploration-sweep-5,3.0,0.1,45,1.0,1,1,0,0,1715,7,18,48,11,-14
0,8m5nxgjg,exploration-sweep-5,3.0,0.1,44,1.0,1,0,0,0,2954,10,17,94,6,-68
0,b07l54m1,exploration-sweep-5,3.0,0.1,43,1.0,1,1,0,0,1445,2,13,24,2,-10
0,frqmah23,exploration-sweep-5,3.0,0.1,42,1.0,1,1,1,1,377,2,21,40,17,-1
0,1yyeb4l8,exploration-sweep-5,3.0,0.1,41,1.0,1,1,0,0,1931,2,25,48,9,-6
0,laduhilh,exploration-sweep-5,3.0,0.1,40,1.0,0,0,0,0,6326,18,18,124,15,-52
0,yrzs3857,exploration-sweep-5,3.0,0.1,39,1.0,1,1,1,1,402,2,17,32,12,0
0,mseifstq,exploration-sweep-5,3.0,0.1,37,1.0,1,0,0,0,3565,7,25,90,20,-52
0,hkogbpbv,exploration-sweep-5,3.0,0.1,36,1.0,1,1,1,0,736,2,13,24,3,-5
0,9nxro8qj,exploration-sweep-5,3.0,0.1,35,1.0,1,1,0,0,1295,2,25,48,19,-3
0,f6vtu3no,exploration-sweep-5,3.0,0.1,34,1.0,1,1,0,0,1663,2,15,28,3,-8
0,grjtkd8q,exploration-sweep-5,3.0,0.1,33,1.0,1,1,1,0,957,2,22,42,12,-11
0,fjkfetcw,exploration-sweep-5,3.0,0.1,31,1.0,1,1,0,0,1168,3,25,50,20,-12
0,reazryzp,exploration-sweep-5,3.0,0.1,30,1.0,0,0,0,0,8688,18,23,218,18,-88
0,v139vtm7,exploration-sweep-5,3.0,0.1,29,1.0,1,1,0,0,1941,4,10,26,6,-19
0,275rf67a,exploration-sweep-5,3.0,0.1,28,1.0,1,1,0,0,1457,4,24,72,7,-39
0,dpvm5jcl,exploration-sweep-5,3.0,0.1,27,1.0,1,1,1,0,729,2,24,46,15,-4
0,vixu60b3,exploration-sweep-5,3.0,0.1,25,1.0,1,1,1,0,682,3,15,30,8,-12
0,28sgsd94,exploration-sweep-5,3.0,0.1,23,1.0,1,1,0,0,1449,3,9,18,5,-17
0,oqu4lhhw,exploration-sweep-5,3.0,0.1,22,1.0,1,0,0,0,3928,14,25,144,8,-72
0,idhnqr7e,exploration-sweep-5,3.0,0.1,21,1.0,1,1,0,0,1286,3,25,50,18,-12
0,nuoazeeo,exploration-sweep-5,3.0,0.1,20,1.0,1,0,0,0,2874,8,37,170,16,-53
0,2uq7s8mj,exploration-sweep-5,3.0,0.1,17,1.0,1,1,1,0,572,2,13,24,6,-3
0,uud8k0zg,exploration-sweep-5,3.0,0.1,15,1.0,1,0,0,0,2290,9,17,64,9,-14
0,mso33k89,exploration-sweep-5,3.0,0.1,14,1.0,1,1,1,1,386,2,15,28,11,0
0,3rkjeb6h,exploration-sweep-5,3.0,0.1,8,1.0,1,1,0,0,1560,4,41,114,12,-39
0,gaxwl1y3,exploration-sweep-5,3.0,0.1,7,1.0,1,1,0,0,1702,4,25,76,5,-39
0,4ecu5mer,exploration-sweep-5,3.0,0.1,6,1.0,1,0,0,0,2665,10,20,86,7,-14
0,xkta0r1q,exploration-sweep-5,3.0,0.1,5,1.0,1,1,0,0,1079,2,23,44,14,-3
0,pmcu3c9n,exploration-sweep-5,3.0,0.1,4,1.0,1,1,1,0,833,2,18,34,12,-4
0,1ajjcuaw,exploration-sweep-5,3.0,0.1,3,1.0,1,1,0,0,1671,4,29,80,6,-39
0,gq60qalq,exploration-sweep-5,3.0,0.1,2,1.0,1,1,0,0,1400,4,20,72,11,-39
0,gnff0sbm,exploration-sweep-5,3.0,0.1,1,1.0,1,1,1,0,738,2,27,52,16,-4
0,3cenm2gh,exploration-sweep-5,3.0,0.1,0,1.0,1,1,0,0,1603,5,24,60,15,-14
